link_id, from_tile_id, from_pos_idx, to_tile_id, to_pos_idx, control_radius_percent, color, ref_color, opacity
l1488,tile6,156,tile8,161,0.3, ,c6,0.1
l1489,tile8,161,tile5,170,0.3, ,c8,0.1
l1490,tile5,170,tile4,156,0.3, ,c5,0.1
l1491,tile4,156,tile8,162,0.3, ,c4,0.1
l1492,tile8,162,tile1,181,0.3, ,c8,0.1
l1493,tile1,181,tile6,157,0.3, ,c1,0.1
l1494,tile6,157,tile1,182,0.3, ,c6,0.1
l1495,tile1,182,tile3,157,0.3, ,c1,0.1
l1496,tile3,157,tile6,158,0.3, ,c3,0.1
l1497,tile6,158,tile1,183,0.3, ,c6,0.1
l1498,tile1,184,tile5,171,0.3, ,c1,0.1
l1499,tile5,171,tile7,164,0.3, ,c5,0.1
l1500,tile7,164,tile3,158,0.3, ,c7,0.1
l1501,tile3,158,tile5,172,0.3, ,c3,0.1
l1502,tile5,172,tile2,168,0.3, ,c5,0.1
l1503,tile2,168,tile5,173,0.3, ,c2,0.1
l1504,tile5,174,tile2,169,0.3, ,c5,0.1
l1505,tile2,169,tile1,185,0.3, ,c2,0.1
l1506,tile1,185,tile3,159,0.3, ,c1,0.1
l1507,tile3,160,tile4,157,0.3, ,c3,0.1
l1508,tile4,157,tile7,165,0.3, ,c4,0.1
l1509,tile7,165,tile5,175,0.3, ,c7,0.1
l1510,tile5,175,tile7,166,0.3, ,c5,0.1
l1511,tile7,166,tile4,158,0.3, ,c7,0.1
l1512,tile4,158,tile1,186,0.3, ,c4,0.1
l1513,tile1,186,tile8,163,0.3, ,c1,0.1
l1514,tile8,163,tile4,159,0.3, ,c8,0.1
l1515,tile4,159,tile9,178,0.3, ,c4,0.1
l1516,tile9,178,tile4,160,0.3, ,c9,0.1
l1517,tile4,160,tile6,159,0.3, ,c4,0.1
l1518,tile6,159,tile8,164,0.3, ,c6,0.1
l1519,tile8,164,tile4,161,0.3, ,c8,0.1
l1520,tile4,161,tile3,161,0.3, ,c4,0.1
l1521,tile3,161,tile8,165,0.3, ,c3,0.1
l1522,tile8,165,tile5,176,0.3, ,c8,0.1
l1523,tile5,176,tile2,170,0.3, ,c5,0.1
l1524,tile2,170,tile3,162,0.3, ,c2,0.1
l1525,tile3,163,tile2,171,0.3, ,c3,0.1
l1526,tile2,171,tile3,164,0.3, ,c2,0.1
l1527,tile3,164,tile9,179,0.3, ,c3,0.1
l1528,tile9,179,tile0,155,0.3, ,c9,0.1
l1529,tile0,155,tile7,167,0.3, ,c0,0.1
l1530,tile7,167,tile3,165,0.3, ,c7,0.1
l1531,tile3,165,tile9,180,0.3, ,c3,0.1
l1532,tile9,180,tile4,162,0.3, ,c9,0.1
l1533,tile4,162,tile1,187,0.3, ,c4,0.1
l1534,tile1,187,tile4,163,0.3, ,c1,0.1
l1535,tile4,163,tile3,166,0.3, ,c4,0.1
l1536,tile3,168,tile4,164,0.3, ,c3,0.1
l1537,tile4,164,tile5,177,0.3, ,c4,0.1
l1538,tile5,177,tile4,165,0.3, ,c5,0.1
l1539,tile4,165,tile7,168,0.3, ,c4,0.1
l1540,tile7,169,tile6,160,0.3, ,c7,0.1
l1541,tile6,160,tile2,172,0.3, ,c6,0.1
l1542,tile2,172,tile4,166,0.3, ,c2,0.1
l1543,tile4,166,tile1,188,0.3, ,c4,0.1
l1544,tile1,188,tile6,161,0.3, ,c1,0.1
l1545,tile6,161,tile8,166,0.3, ,c6,0.1
l1546,tile8,166,tile6,162,0.3, ,c8,0.1
l1547,tile6,162,tile2,173,0.3, ,c6,0.1
l1548,tile2,173,tile5,178,0.3, ,c2,0.1
l1549,tile5,178,tile1,189,0.3, ,c5,0.1
l1550,tile1,189,tile8,167,0.3, ,c1,0.1
l1551,tile8,167,tile9,181,0.3, ,c8,0.1
l1552,tile9,181,tile8,168,0.3, ,c9,0.1
l1553,tile8,168,tile3,169,0.3, ,c8,0.1
l1554,tile3,169,tile5,179,0.3, ,c3,0.1
